Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cin/create/155,581,2,46,1025.8769295920563,16.014030999940587,31607.579651999913,3.025817555938038,0.08066299394506346,0.0002776695144408381,46,120,600,1100,3400,6200,9100,10000,32000,32000,32000
POST,/cin/create/156,564,7,42,815.8644571524901,8.884937999027898,11061.901613000373,3.148936170212766,0.07830280307231634,0.0009718433005429333,42,57,220,760,2700,5600,8000,9700,11000,11000,11000
POST,/cin/create/157,517,6,44,902.7649533809874,10.353935998864472,13673.102641001606,3.1682785299806575,0.07177756948295665,0.0008330085433225142,44,86,600,1200,3200,5100,8000,10000,14000,14000,14000
POST,/cin/create/158,537,4,42,999.7235099777249,11.319364999508252,39698.45323899972,3.094972067039106,0.07455426462736503,0.0005553390288816762,42,62,440,970,3400,5800,9000,12000,40000,40000,40000
POST,/cin/create/159,528,3,44,957.7133533958108,12.958473998878617,14727.857215999393,3.022727272727273,0.07330475181238126,0.0004165042716612571,44,62,390,1100,3900,5900,8700,10000,15000,15000,15000
POST,/cin/create/16,518,2,44,1003.5959216775822,13.839859000654542,11714.69802699903,3.028957528957529,0.07191640424017706,0.0002776695144408381,44,120,750,1500,3900,6100,7600,9400,12000,12000,12000
POST,/cin/create/160,514,2,43,1010.595110118668,14.404870998987462,13450.162732000535,2.9883268482490273,0.07136106521129539,0.0002776695144408381,43,72,610,1100,3400,6700,8400,9200,13000,13000,13000
POST,/cin/create/161,540,2,44,1145.4033524944375,14.018565001606476,36192.93346300037,3.085185185185185,0.07497076889902628,0.0002776695144408381,44,77,740,1400,3900,6800,10000,12000,36000,36000,36000
POST,/cin/create/162,524,3,46,976.2282095210053,13.215106000643573,12886.08674599891,3.0229007633587788,0.07274941278349958,0.0004165042716612571,46,75,450,930,3600,6200,8700,10000,13000,13000,13000
POST,/cin/create/163,533,3,43,818.3998373808695,10.683287000574637,11931.659398000193,3.0619136960600377,0.07399892559848335,0.0004165042716612571,43,110,510,880,3200,4700,7500,8900,12000,12000,12000
POST,/cin/create/164,539,3,44,1071.6166088904783,13.669263998963288,13286.911531000442,3.061224489795918,0.07483193414180586,0.0004165042716612571,44,79,640,1200,3800,7400,9600,12000,13000,13000,13000
POST,/cin/create/165,535,1,45,1004.6367896878535,13.243872999737505,15364.740846000132,3.052336448598131,0.07427659511292418,0.00013883475722041905,45,64,490,890,4000,6200,9200,11000,15000,15000,15000
POST,/cin/create/166,539,0,45,1037.004853994464,14.411050000489922,12471.97709899956,3.0,0.07483193414180586,0.0,45,80,640,1300,3800,6500,9300,12000,12000,12000,12000
POST,/cin/create/167,523,5,44,833.14155673041,1.5765600001031999,30498.15286699959,3.1510516252390057,0.07261057802627915,0.0006941737861020952,44,72,550,850,2700,4600,7700,10000,30000,30000,30000
POST,/cin/create/168,549,5,45,987.6119425282928,11.891464000655105,12840.3586860004,3.1256830601092895,0.07622028171401006,0.0006941737861020952,45,73,600,1000,3700,6200,10000,12000,13000,13000,13000
POST,/cin/create/169,546,4,45,931.1935457344108,13.370353999562212,16041.45261800113,3.0934065934065935,0.0758037774423488,0.0005553390288816762,45,90,630,1000,3200,5900,7900,9900,16000,16000,16000
POST,/cin/create/17,526,2,44,951.1087361939306,13.395227000728482,12587.32756399877,2.988593155893536,0.07302708229794042,0.0002776695144408381,44,66,570,1100,3400,6100,8000,9500,13000,13000,13000
POST,/cin/create/170,542,5,44,1078.6065165829864,9.309486998972716,36107.5526859986,3.1273062730627306,0.07524843841346712,0.0006941737861020952,44,110,600,1200,3500,6400,9600,12000,36000,36000,36000
POST,/cin/create/171,547,4,43,938.4141160438628,4.9584240005060565,13660.951406000095,3.093235831809872,0.07594261219956921,0.0005553390288816762,43,70,490,990,3500,6300,8600,9100,14000,14000,14000
POST,/cin/create/172,562,2,46,983.4496824555134,14.061177998883068,13778.375153000525,3.026690391459075,0.0780251335578755,0.0002776695144408381,46,92,540,1100,3400,6200,9200,11000,14000,14000,14000
POST,/cin/create/173,533,4,44,951.5299205985262,13.945036000222899,13682.1072799994,3.0562851782363976,0.07399892559848335,0.0005553390288816762,44,70,570,1000,3500,5900,8700,11000,14000,14000,14000
POST,/cin/create/174,519,1,43,999.3952688824701,14.082470999710495,13885.806940999828,3.0346820809248554,0.07205523899739748,0.00013883475722041905,43,60,380,1000,3900,6200,10000,12000,14000,14000,14000
POST,/cin/create/175,517,5,43,902.5573591431281,4.740098999718612,13285.88400300032,3.09284332688588,0.07177756948295665,0.0006941737861020952,43,71,300,810,3500,5500,9300,9700,13000,13000,13000
POST,/cin/create/176,536,3,42,885.7792290037447,13.472414000716526,15572.154698000304,3.1007462686567164,0.0744154298701446,0.0004165042716612571,42,61,380,850,3200,6000,9200,11000,16000,16000,16000
POST,/cin/create/177,563,6,45,893.7543196714238,9.793427001568489,14281.081840999832,3.1900532859680286,0.07816396831509592,0.0008330085433225142,45,89,430,910,2700,5700,8700,11000,14000,14000,14000
POST,/cin/create/178,506,7,43,1182.5709176304451,4.8789810007292544,13137.755867001033,3.124505928853755,0.07025038715353203,0.0009718433005429333,44,90,710,1600,4600,6800,9800,11000,13000,13000,13000
POST,/cin/create/179,534,4,44,1119.8609747884207,11.078440000346745,12664.697862999674,3.114232209737828,0.07413776035570377,0.0005553390288816762,44,100,620,1500,4100,7700,9900,12000,13000,13000,13000
POST,/cin/create/18,570,2,44,937.2356059034802,12.743306000629673,13604.969499998333,2.9894736842105263,0.07913581161563886,0.0002776695144408381,44,69,480,940,3500,5700,8900,11000,14000,14000,14000
POST,/cin/create/180,530,1,44,1149.359743937728,7.761292999930447,15143.012182001257,3.0339622641509436,0.07358242132682209,0.00013883475722041905,44,98,610,1300,4700,6800,9800,12000,15000,15000,15000
POST,/cin/create/181,502,4,44,932.8264271932413,1.2577819998114137,12533.964977999858,3.0597609561752988,0.06969504812465036,0.0005553390288816762,44,68,370,840,3500,6200,8700,10000,13000,13000,13000
POST,/cin/create/182,591,2,44,1029.6024109847863,10.806357000546996,12890.028652998808,3.0609137055837565,0.08205134151726766,0.0002776695144408381,44,68,500,1100,3600,6700,9700,12000,13000,13000,13000
POST,/cin/create/183,543,0,47,996.1414351197269,13.94348599933437,14128.417166000872,3.0,0.07538727317068754,0.0,47,120,700,1200,3300,6100,9300,10000,14000,14000,14000
POST,/cin/create/184,512,0,45,1079.0834367577859,13.71844800087274,15473.54701599943,3.0,0.07108339569685455,0.0,45,97,630,1200,4300,6800,8600,11000,15000,15000,15000
POST,/cin/create/185,505,1,45,1118.9640875406533,9.589519000655855,13208.946999000545,3.0356435643564357,0.07011155239631162,0.00013883475722041905,45,86,760,1500,4200,7100,9500,11000,13000,13000,13000
POST,/cin/create/186,531,3,44,957.758335706258,14.501554000162287,13514.531460999933,3.062146892655367,0.07372125608404251,0.0004165042716612571,44,61,350,900,3200,6800,9600,11000,14000,14000,14000
POST,/cin/create/187,511,3,44,1001.9106466086469,11.201584000446019,15858.378513999924,3.1056751467710373,0.07094456093963412,0.0004165042716612571,44,66,490,1100,3400,6700,10000,12000,16000,16000,16000
POST,/cin/create/188,571,6,44,967.5514059965229,8.042978999583283,14628.287555000497,3.0052539404553413,0.07927464637285928,0.0008330085433225142,44,86,510,990,3600,6300,8900,9900,15000,15000,15000
POST,/cin/create/189,520,3,44,1101.1617719673072,9.375023999382393,16891.61813499959,3.0634615384615387,0.07219407375461791,0.0004165042716612571,44,88,620,1200,4000,7900,10000,12000,17000,17000,17000
POST,/cin/create/19,579,3,45,931.4473171778659,11.91373799883877,14383.068606999586,3.0207253886010363,0.08038532443062263,0.0004165042716612571,45,100,560,1100,3300,5400,8900,10000,14000,14000,14000
POST,/cin/create/190,531,3,43,1016.4354323427219,12.777537000147277,12844.907382999736,3.022598870056497,0.07372125608404251,0.0004165042716612571,43,72,590,1200,3800,6400,9000,10000,13000,13000,13000
POST,/cin/create/191,545,2,43,928.6464519229639,10.907480000241776,12887.037043999953,3.0660550458715594,0.07566494268512838,0.0002776695144408381,43,57,290,680,3200,7000,9900,11000,13000,13000,13000
POST,/cin/create/192,550,4,44,1048.5393170872983,11.686010000630631,13441.137459998572,3.0545454545454547,0.07635911647123048,0.0005553390288816762,44,80,620,1200,3600,7000,9000,10000,13000,13000,13000
POST,/cin/create/193,491,3,44,854.5685746924225,10.510109999813722,12867.783991001488,3.0672097759674135,0.06816786579522575,0.0004165042716612571,44,66,390,740,3300,5300,8500,12000,13000,13000,13000
POST,/cin/create/194,546,5,43,1008.1075004156992,9.24360699900717,14251.21296799989,3.1648351648351647,0.0758037774423488,0.0006941737861020952,43,61,440,1100,3900,6700,9100,11000,14000,14000,14000
POST,/cin/create/195,544,3,44,1063.3184851599187,10.494066000319435,12785.70424299869,3.099264705882353,0.07552610792790795,0.0004165042716612571,45,100,870,1400,3600,7100,9100,10000,13000,13000,13000
POST,/cin/create/196,564,5,45,804.9245874166505,10.362946999521228,12847.604470998704,3.047872340425532,0.07830280307231634,0.0006941737861020952,45,110,500,770,2800,4900,8300,10000,13000,13000,13000
POST,/cin/create/197,492,4,45,1028.1314215101986,14.218121999874711,13171.836912999424,3.0813008130081303,0.06830670055244617,0.0005553390288816762,45,94,650,1200,3700,6700,9000,12000,13000,13000,13000
POST,/cin/create/198,551,1,43,947.2088906352454,12.23818700054835,36117.021461999684,3.0326678765880217,0.07649795122845089,0.00013883475722041905,43,64,410,880,3500,5200,8700,10000,36000,36000,36000
POST,/cin/create/199,524,2,43,891.8223133702086,13.732985000387998,14189.038079999591,3.0286259541984735,0.07274941278349958,0.0002776695144408381,43,67,520,990,2800,5500,9300,11000,14000,14000,14000
POST,/cin/create/2,479,2,43,842.7188813486435,9.89029900119931,11816.320021998763,3.0751565762004174,0.06650184870858072,0.0002776695144408381,43,65,400,730,2800,5400,9300,10000,12000,12000,12000
POST,/cin/create/20,567,3,45,1038.4079709524494,14.149291999274283,12400.642484000855,3.0211640211640214,0.0787193073439776,0.0004165042716612571,45,110,840,1300,3400,6300,9200,9700,12000,12000,12000
POST,/cin/create/200,495,2,42,932.1252624585408,8.693493000464514,12265.98162299888,3.0727272727272728,0.06872320482410743,0.0002776695144408381,42,72,470,1100,3100,6700,9700,11000,12000,12000,12000
POST,/cin/create/201,544,2,44,1012.0257108547269,14.213468999514589,13079.751762001251,2.988970588235294,0.07552610792790795,0.0002776695144408381,44,73,670,1300,3500,5900,9000,12000,13000,13000,13000
POST,/cin/create/202,555,3,45,1121.107734598114,13.871268000002601,16600.384182000198,3.0594594594594593,0.07705329025733257,0.0004165042716612571,45,100,690,1400,4300,6500,9900,12000,17000,17000,17000
POST,/cin/create/203,553,1,43,873.8868616166035,14.733452000655234,11731.431468000665,3.0325497287522603,0.07677562074289174,0.00013883475722041905,43,67,310,750,3400,5900,8500,9500,12000,12000,12000
POST,/cin/create/204,553,3,43,1088.4069897323907,14.611652000894537,13101.722989000336,3.097649186256781,0.07677562074289174,0.0004165042716612571,43,64,750,1400,4200,6800,9300,11000,13000,13000,13000
POST,/cin/create/205,545,2,44,963.5590632073397,11.07842799865466,12137.015068999972,3.0660550458715594,0.07566494268512838,0.0002776695144408381,44,160,690,1400,3500,5800,7800,8900,12000,12000,12000
POST,/cin/create/206,505,2,44,824.1341033207794,13.924386001235689,12438.559098998667,2.988118811881188,0.07011155239631162,0.0002776695144408381,44,67,400,980,2800,4800,8100,9900,12000,12000,12000
POST,/cin/create/207,549,6,46,1209.4596985610497,8.480303999021999,12134.336936000182,3.081967213114754,0.07622028171401006,0.0008330085433225142,46,330,1000,1800,4400,7400,9700,11000,12000,12000,12000
POST,/cin/create/208,536,5,45,1068.61921166226,10.296491998815327,14244.076532999316,3.128731343283582,0.0744154298701446,0.0006941737861020952,46,110,720,1300,3800,6800,9000,12000,14000,14000,14000
POST,/cin/create/209,512,4,45,1074.762162712917,13.508092999472865,14149.316515000464,3.09765625,0.07108339569685455,0.0005553390288816762,45,110,620,1200,3700,6500,11000,13000,14000,14000,14000
POST,/cin/create/21,531,3,43,941.7847115292342,2.1680150002794107,12766.230172999713,3.062146892655367,0.07372125608404251,0.0004165042716612571,43,78,530,990,3400,6000,8100,11000,13000,13000,13000
